"","month","id","gender","symbol","count","DEG.18","DEG.24","DEG.both"
"488","24","61","M","Spink4",42,"None","None",FALSE
"489","3","8","M","Spink4",147,"None","None",FALSE
"490","3","9","M","Spink4",139,"None","None",FALSE
"491","3","10","M","Spink4",269,"None","None",FALSE
"492","3","11","M","Spink4",211,"None","None",FALSE
"493","3","56","F","Spink4",74,"None","None",FALSE
"494","3","38","F","Spink4",48,"None","None",FALSE
"495","3","39","F","Spink4",333,"None","None",FALSE
"496","18","53","M","Lrrc26",6,"None","None",FALSE
"497","18","45","M","Lrrc26",54,"None","None",FALSE
"498","18","46","F","Lrrc26",97,"None","None",FALSE
"499","18","47","F","Lrrc26",31,"None","None",FALSE
"500","24","60","M","Lrrc26",21,"None","None",FALSE
"501","24","59","M","Lrrc26",19,"None","None",FALSE
"502","24","58","M","Lrrc26",30,"None","None",FALSE
"503","24","61","M","Lrrc26",17,"None","None",FALSE
"504","3","8","M","Lrrc26",14,"None","None",FALSE
"505","3","9","M","Lrrc26",39,"None","None",FALSE
