"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Pim3","Pim3",117.2200535,246.1705848,207.1436148,247.6643278,48.2960381,55.8521501,51.6689571,31.1741493,161.9860559,164.6747393,346.9517922,209.1251396,101.0840295,86.7718436,391.5441051
"Tox","Tox",153.3562392,407.168705,248.1542299,294.4120531,63.0936591,98.8159488,126.0229282,50.7297041,139.4126157,162.0971809,255.6823952,207.8343421,136.621163,211.4067392,487.3948525
"Celsr1","Celsr1",94.9051654,300.3406369,145.6749478,331.2676314,49.1732832,148.6995791,83.5512416,116.0234504,308.4966151,321.4298671,688.5950254,507.4502721,97.6327345,77.3654271,530.3160182
"Rab17","Rab17",26.9721843,91.0882564,72.0629425,104.2124112,26.5392298,13.8529586,59.6159325,25.687827,26.2615379,70.6557128,45.8685947,82.4430569,37.600769,30.6173051,103.210676
"Slc20a1","Slc20a1",54.8395525,150.805137,176.7023071,127.091451,41.0801314,38.5689218,65.8978996,22.3036536,105.2234553,117.0110944,257.5863696,194.4562873,48.8230652,69.2526814,214.5871287
"Slc6a8","Slc6a8",45.6568651,70.5262708,72.8489229,104.5841638,30.2640426,18.0988505,25.6766291,11.451613,31.824522,82.0650782,96.2747802,74.8314313,22.2959728,47.4590178,98.6676759
"Impdh2","Impdh2",218.2428142,488.0882817,439.8946814,371.4720936,141.9865114,196.8468446,254.7842063,245.3545708,167.9785312,210.5971981,437.1057416,339.3078349,222.2745591,228.6519551,598.4198487
"Ica1","Ica1",20.6157606,101.4169893,64.3178197,61.9617664,10.9677649,14.9652228,40.3710829,3.1513848,42.979394,52.1693519,139.7850633,85.1006374,54.7559726,25.4686244,112.9738141
"BC003965","BC003965",126.7317159,245.0381265,241.9723745,175.6048338,72.631985,51.2653703,81.3054077,48.2308772,77.4042604,80.9606967,246.9822635,152.1671186,69.367213,86.5001347,269.511345
"Ppp1r15b","Ppp1r15b",138.8444588,255.7005151,188.6274562,256.8922762,53.0024038,80.1995061,69.1388583,65.4328464,205.1665134,203.1381539,500.4345892,356.9950148,112.9709299,87.6090868,392.5247567
"Lonp1","Lonp1",203.300796,392.1339507,365.7748254,324.1483089,96.8614684,111.4420823,163.8907868,82.60165,130.6343553,205.9615841,444.2981729,351.8415074,180.2286391,144.6578963,383.4031626
"Ict1","Ict1",243.0690065,442.6659951,346.6672276,293.2242039,125.0636269,152.8383806,180.7681702,134.2675903,177.0397392,243.916414,457.7269562,363.0382719,164.1503624,162.1162866,617.5738604
"Tmem223","Tmem223",130.0152637,247.1203044,211.6467055,220.7348321,114.0776388,116.1627775,103.8636459,48.7717823,75.5281028,107.6422886,218.7736763,181.8239252,80.7120898,69.0780046,313.6385698
"Mrpl38","Mrpl38",121.8587348,276.5012629,217.0895995,215.6609607,45.4607613,85.2114311,163.8700861,66.3278451,92.7170503,141.4373487,235.2654225,260.1544839,122.4636854,100.521864,380.2978065
"Polr1c","Polr1c",47.2894394,160.6465156,119.6345527,148.7572043,18.4276063,55.4170198,41.1214436,58.2481679,103.2302196,59.9454187,150.4927671,131.7924705,37.0459638,47.02097,233.4394792
"Hmgcl","Hmgcl",156.1026205,479.9115828,273.84241,337.0443698,155.3025894,153.6040807,213.8793862,178.3323893,123.9503155,216.6915948,330.4437966,311.034606,159.4509624,132.8774236,395.3164427
"Smyd2","Smyd2",111.1068351,291.8379067,183.8220592,183.9620844,94.3826598,60.7530301,129.755038,74.8407354,145.4316892,195.3436913,298.2728231,245.8756995,133.7598579,103.0421113,391.739028
"X1110049F12Rik","X1110049F12Rik",54.5607449,79.6911236,101.602222,133.640549,37.7402434,49.353206,51.0988537,12.284161,51.8014217,92.3688954,126.9897242,127.1877741,59.4875391,57.0825549,207.4892444
"X2010107G23Rik","X2010107G23Rik",18.2999432,66.918155,73.435522,21.4049001,15.8404882,18.8443628,39.5149844,6.7271757,38.6132172,38.3945462,59.1944102,64.7996055,22.701763,48.8945994,77.4963892
"Gpaa1","Gpaa1",110.2444235,242.3976986,235.5978997,190.6403545,54.5566222,84.6316633,74.181379,44.5945561,88.7015296,108.8335837,222.369623,161.1108281,68.5753968,87.3231787,192.6702221
"X2810422J05Rik","X2810422J05Rik",86.0404181,203.8284678,136.0380256,130.4872228,75.638406,74.4534509,95.1913327,27.7638977,123.1636134,91.3191883,212.6043771,186.3660276,66.756671,87.5826339,210.070794
"Pbld2","Pbld2",30.4231462,71.8213037,73.3660025,63.5255044,13.8493846,13.3419997,41.7392404,3.817459,30.2430079,24.8872671,54.1726725,49.4777149,34.5635295,25.5548344,119.7080826
"Stoml2","Stoml2",126.3440479,372.9994675,322.0000091,213.3928719,55.1022724,110.0522107,99.91084035,118.6968648,153.4617743,171.6792414,294.3135765,307.0998031,112.5860295,133.089404,321.805397
"Pllp","Pllp",73.2075405,176.779455,116.9496207,150.4371315,43.0720207,43.7006326,94.4576624,22.3553254,41.7593447,82.199784,186.2507563,65.9419567,39.4614992,77.2299305,153.6778478
"ORF61","ORF61",283.2466462,414.7399102,464.2951249,337.384225,124.1547465,99.2553371,134.3598136,80.3169622,215.710102,269.753041,435.7472889,444.380349,145.4726344,154.340341,561.4436909
"D10Jhu81e","D10Jhu81e",133.1556331,298.2728208,218.950947,277.3626352,98.7452109,108.8167544,41.8288844,154.1508293,78.6702545,129.848738,313.3278575,239.1239096,116.5445332,91.4446772,370.0456958
"Ubl4","Ubl4",172.2299018,327.7019966,341.6898887,293.605802,109.1864458,106.852957,125.9870721,51.3206258,167.302314,204.6925768,327.1901788,310.1289994,115.5101958,133.4715125,443.9582022
"Creb3","Creb3",42.3285867,158.4788779,57.557658,83.949512,39.7231535,17.4063161,71.3970504,109.6819783,70.149041,70.8941739,133.0607697,120.408068,37.7634657,20.3689039,139.1726594
"X1110059E24Rik","X1110059E24Rik",52.7331608,112.441942,102.4983703,123.409524,29.5642775,24.3950817,65.5761204,19.04367,60.8820916,106.496495,186.9556781,132.0606471,81.8866237,44.7209792,175.291178
"Marveld2","Marveld2",50.9223092,181.5323902,161.8526705,188.8193157,53.0970427,8.662563,101.8283178,15.105041,43.4922664,168.6797728,228.3984224,135.9369197,87.314893,64.4128893,252.3134584
"Cdk4","Cdk4",211.4040049,463.9362164,280.9077559,335.9516313,154.8217157,185.6275419,225.497338,203.9120095,229.0657765,207.4167497,435.2292353,362.4687239,161.3510503,164.1533994,497.0025479
"Pih1d1","Pih1d1",209.3229914,301.2769743,343.5553353,223.3666993,88.1809112,121.3986124,149.3365261,164.3576031,161.6238908,171.99391,434.4144435,293.2098616,143.8867728,152.0641524,483.467908
"C1qbp","C1qbp",204.0739785,424.4779994,275.5441699,297.2734996,154.0868483,162.7375513,170.25167126,233.418657,192.6784713,181.7795049,420.4715085,363.5428379,137.9232105,162.6093096,545.7832398
"Gramd3","Gramd3",79.422321,178.5080691,78.9713773,120.8579189,18.4790871,40.5202223,43.7241667,18.3324863,70.5315302,96.7947769,176.0696883,166.259533,79.9557676,70.030237,271.4019417
"Nme1","Nme1",238.3770247,502.9480739,485.4843775,336.4345724,190.9689954,192.1427245,203.8903476,193.1727894,138.9941179,225.3549453,391.6846741,380.6687063,145.3808179,188.7074846,457.8040214
"Naa10","Naa10",198.5330268,424.7543785,354.3521148,317.638763,156.4501123,192.7111526,185.9324097,123.2517081,198.2579701,218.9602252,380.9691233,393.5938415,178.0738302,163.1934226,453.2313014
"Agpat4","Agpat4",68.8775049,187.1173323,206.3894769,114.6827402,29.6380119,61.7178163,58.0331379,31.3773689,32.5493478,49.5020139,125.762391,100.2893411,43.6678715,53.8329479,129.1202743
