"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"28","Nlrp6",397.975163771,492.920884836,316.780978384,423.097299914,141.953636418,298.54442602,274.673788839,266.445244934,458.394877799,430.148721417,404.376744881,204.809192539,498.458983681,339.354489098,787.006331841
"29","Clrn3",331.178195192,427.050529844,224.959693042,291.660452033,114.134279776,357.19560331,363.617216513,227.917486634,319.502257721,336.740799154,269.95225668,188.533496526,525.346049295,329.319920038,629.417790371
"30","Tm4sf20",581.8325565355,621.667156883,584.759129727,446.017240091,293.1625360149,447.034967589,515.7038248074,387.432719017,508.931962297,531.308062207,417.670018755,244.067921073,610.737769413,427.563323379,909.31999392
"31","Kcne3",531.938206338,509.548797199,526.7412739,346.072575651,255.093747056,406.949535554,486.17231758,353.440947625,372.076781418,347.418703088,287.195933495,162.830986727,547.709129185,439.187427401,586.268826681
"32","Tpsg1",188.40653236,134.834468872,230.858389396,130.576882897,157.6477413547,234.39453434,344.302679041,129.37153391,77.6745828,57.36431133,103.413204682,45.84834173,346.611526158,393.30415979,165.827408819
"33","Abp1",415.113364081,413.92612944,277.468984556,389.397351092,126.6448219175,414.69013705,403.3564349488,285.575654425,501.273362508,456.171609144,410.970641996,184.344277363,637.414516598,441.55803746,789.728490499
"34","Cyp4f40",265.452350163,255.28072123,182.103025186,263.72644193,84.28176724,264.02559887,228.224545616,199.08653596,236.84280032,288.57294871,188.440782595,113.4852,388.3835795,275.186090583,449.10061181
"35","Gcnt3",489.323617928,570.717707068,425.400682088,439.073618617,313.7553649566,487.967486583,565.63696051,292.404228735,377.199044702,291.32225575,349.875460537,272.139388212,761.795868417,655.358952411,705.671289791
"36","Prss30",238.342611314,360.926406438,326.420434086,266.7022834,164.300369654,204.59409345,194.41266642,130.749211201,231.889353507,305.73672442,241.014898626,161.36002739,269.987456612,213.267420286,445.874580805
"37","Rnf186",577.056082053,533.405629392,488.197178429,382.115705575,258.561454845,456.570342447,584.53920037,324.542219763,381.172010249,297.570193096,309.267456936,116.221919599,645.682527144,666.106391197,738.180739933
"38","Hsd17b2",373.404037855,370.347944168,365.900160141,302.327394156,237.914465509,327.689100015,387.465918372,199.28738179,258.05471382,316.126254962,265.466675231,151.60406733,475.756231964,377.245722451,390.07428494
"39","Hgfac",353.088669248,263.1732366967,311.845393141,250.029920361,177.4756546781,369.34569618,455.697283279,230.5248106525,185.793570505,198.247371475,233.390826043,87.117740664,429.596305308,468.278099436,350.242777745
"40","Entpd8",308.191889452,381.909689646,366.782379165,344.483850645,118.542189697,327.506804022,345.384352797,230.104017438,372.828836743,331.725052603,354.035167409,184.194693419,484.013551965,324.37834768,655.755165757
"41","Atoh1",177.295310558,106.477269846,142.28258527,114.70792166,97.93115991,259.70201879,355.74293055,128.14619127,72.569636927,67.077282456,101.531429514,35.13800782,383.357847545,351.20264689,162.489618256
"42","Hsd11b2",361.64705558,271.542630277,240.746219812,262.024524956,185.1862179888,390.898982067,432.000017246,219.19806375,196.625612291,261.714734205,210.798233624,101.851341319,505.368185174,394.391162173,300.332938374
